OBJECTID,ClosestID,FileName,POINT_X,POINT_Y
74,7052,sg_007052.soil,19.375000000000057,-33.374999999999943
75,7053,sg_007053.soil,19.208333333000041,-33.291666666999959
76,7054,sg_007054.soil,22.041666667000072,-33.208333332999985
77,7059,sg_007059.soil,23.291666667000072,-33.708333332999985
78,7060,sg_007060.soil,22.625000000000057,-33.791666666999959
79,7061,sg_007061.soil,21.375000000000057,-33.458333332999985
80,7062,sg_007062.soil,21.708333333000041,-33.458333332999985
81,7063,sg_007063.soil,21.625000000000057,-33.458333332999985
82,7064,sg_007064.soil,21.125000000000057,-33.708333332999985
83,7065,sg_007065.soil,22.041666667000072,-33.458333332999985
84,7066,sg_007066.soil,22.458333333000041,-33.458333332999985
85,7067,sg_007067.soil,22.208333332000052,-33.624999999999943
86,7068,sg_007068.soil,22.208333333000041,-33.458333332999985
87,7069,sg_007069.soil,22.458333333000041,-33.541666666999959
88,7070,sg_007070.soil,20.541666667000072,-33.958333332999985
89,7071,sg_007071.soil,18.708333333000041,-33.458333332999985
90,7072,sg_007072.soil,18.791666667000072,-33.458333332999985
91,7073,sg_007073.soil,18.708333333000041,-33.208333332999985
92,7076,sg_007076.soil,18.708333333000041,-33.624999999999943
93,7078,sg_007078.soil,24.125000000000057,-33.958333332999985
94,7079,sg_007079.soil,23.958333333000041,-33.958333332999985
95,7094,sg_007094.soil,19.375000000000057,-33.791666666999959
96,7095,sg_007095.soil,18.958333333000041,-33.791666666999959
97,7096,sg_007096.soil,19.875000000000057,-33.791666666999959
98,7097,sg_007097.soil,20.041666667000072,-33.874999999999943
99,7098,sg_007098.soil,19.791666667000072,-34.041666666999959
100,7099,sg_007099.soil,20.208333333000041,-33.874999999999943
101,7100,sg_007100.soil,20.125000000000057,-33.958333332999985
102,7101,sg_007101.soil,19.958333333000041,-33.791666666999959
103,7102,sg_007102.soil,19.125000000000057,-33.874999999999943
104,7103,sg_007103.soil,18.791666667000072,-33.874999999999943
105,7104,sg_007104.soil,18.791666667000072,-33.958333332999985
106,7105,sg_007105.soil,18.875000000000057,-33.958333332999985
107,7106,sg_007106.soil,18.958333333000041,-33.874999999999943
108,7107,sg_007107.soil,18.958333333000041,-33.958333332999985
109,7108,sg_007108.soil,18.875000000000057,-33.874999999999943
110,7109,sg_007109.soil,18.875000000000057,-34.208333332999985
111,7110,sg_007110.soil,18.708333333000041,-33.958333332999985
112,7112,sg_007112.soil,18.722985236000056,-33.883329622999952
113,7117,sg_007117.soil,18.633932732000062,-34.038289008999982
114,7119,sg_007119.soil,18.875000000000057,-34.041666666999959
115,7120,sg_007120.soil,18.712526568000044,-34.038289008999982
116,7121,sg_007121.soil,23.541666667000072,-33.791666666999959
117,7122,sg_007122.soil,23.360314417000041,-34.036043220999943
118,7123,sg_007123.soil,23.208333333000041,-34.041666666999959
119,7124,sg_007124.soil,22.446758372000033,-33.932736963999957
120,7125,sg_007125.soil,22.291666667000072,-33.958333332999985
121,7126,sg_007126.soil,22.458333333000041,-34.041666666999959
122,7127,sg_007127.soil,22.708333333000041,-33.958333332999985
123,7128,sg_007128.soil,21.541666667000072,-34.291666666999959
124,7129,sg_007129.soil,21.458333333000041,-34.041666666999959
125,7130,sg_007130.soil,21.291666667000072,-34.374999999999943
126,7131,sg_007131.soil,20.708333332000052,-34.208333332999985
127,7132,sg_007132.soil,21.375000000000057,-34.041666666999959
128,7133,sg_007133.soil,21.291666667000072,-34.124999999999943
129,7134,sg_007134.soil,22.791666666000026,-33.958333332999985
130,7135,sg_007135.soil,22.875000000000057,-34.041666666999959
131,7136,sg_007136.soil,23.208333333000041,-33.874999999999943
132,7137,sg_007137.soil,22.958333333000041,-33.958333332999985
133,7138,sg_007138.soil,22.041666667000072,-33.958333332999985
134,7139,sg_007139.soil,22.125000000000057,-34.041666666999959
135,7140,sg_007140.soil,22.208333333000041,-33.958333332999985
136,7141,sg_007141.soil,21.708333333000041,-34.124999999999943
137,7142,sg_007142.soil,19.874999999000067,-34.458333332999985
138,7143,sg_007143.soil,19.875000000000057,-34.291666666999959
139,7144,sg_007144.soil,20.208333333000041,-34.291666666999959
140,7145,sg_007145.soil,20.125000000000057,-34.624999999999943
141,7146,sg_007146.soil,19.708333333000041,-34.708333332999985
142,7147,sg_007147.soil,19.291666667000072,-34.374999999999943
143,7148,sg_007148.soil,19.208333334000031,-34.374999999999943
144,7149,sg_007149.soil,19.125000000000057,-34.291666666999959
145,7150,sg_007150.soil,18.958333334000031,-34.291666666999959
146,7151,sg_007151.soil,19.958333333000041,-34.208333332999985
147,7152,sg_007152.soil,20.625000000000057,-34.124999999999943
148,7153,sg_007153.soil,20.458333332000052,-34.041666666999959
149,7154,sg_007154.soil,19.791666667000072,-34.208333332999985
150,7155,sg_007155.soil,18.958333333000041,-34.208333332999985
151,7156,sg_007156.soil,19.625000000000057,-34.041666666999959
152,7157,sg_007157.soil,19.375000000000057,-34.208333332999985
153,7158,sg_007158.soil,19.291666667000072,-34.124999999999943
154,7159,sg_007159.soil,19.208333333000041,-33.958333332999985
155,7160,sg_007160.soil,19.208333333000041,-34.208333332999985
156,7161,sg_007161.soil,18.958333333000041,-34.124999999999943
157,7162,sg_007162.soil,19.208333333000041,-34.041666666999959
158,6951,sg_006951.soil,26.625000000000057,-31.791666666999959
159,6956,sg_006956.soil,24.541666667000072,-32.208333332999985
160,6957,sg_006957.soil,24.125000000000057,-32.208333332999985
161,6958,sg_006958.soil,25.625000000000057,-32.208333332999985
162,6959,sg_006959.soil,25.541666667000072,-31.958333332999928
163,6960,sg_006960.soil,26.291666667000072,-31.958333332999928
164,6974,sg_006974.soil,26.208333333000041,-32.708333332999985
165,6975,sg_006975.soil,25.458333333000041,-32.624999999999943
166,6985,sg_006985.soil,26.041666667000072,-32.708333332999985
167,6986,sg_006986.soil,25.625000000000057,-32.624999999999943
168,6987,sg_006987.soil,25.541666667000072,-32.708333332999985
169,6988,sg_006988.soil,25.291666667000072,-32.958333332999985
170,6989,sg_006989.soil,25.041666667000072,-32.958333332999985
171,6990,sg_006990.soil,24.958333333000041,-32.874999999999943
172,6992,sg_006992.soil,24.625000000000057,-33.208333332999985
173,6993,sg_006993.soil,26.125000000000057,-33.208333332999985
174,7014,sg_007014.soil,24.208333333000041,-33.624999999999943
175,7015,sg_007015.soil,24.708333333000041,-33.374999999999943
176,7016,sg_007016.soil,24.208333333000041,-33.208333332999985
177,7020,sg_007020.soil,24.791666666000026,-33.624999999999943
178,7021,sg_007021.soil,24.958333333000041,-33.874999999999943
179,7022,sg_007022.soil,26.208333333000041,-33.374999999999943
180,7023,sg_007023.soil,25.458333333000041,-33.374999999999943
181,7024,sg_007024.soil,25.791666667000072,-33.624999999999943
182,7025,sg_007025.soil,26.041666667000072,-33.541666666999959
183,7026,sg_007026.soil,25.708333333000041,-33.458333332999985
184,7027,sg_007027.soil,24.958333333000041,-33.458333332999985
185,7028,sg_007028.soil,25.708333333000041,-33.291666666999959
186,7029,sg_007029.soil,25.291666667000072,-33.791666666999959
187,7030,sg_007030.soil,25.458333333000041,-33.708333332999985
188,7031,sg_007031.soil,25.708333333000041,-33.708333332999985
189,7077,sg_007077.soil,24.458333333000041,-33.874999999999943
190,7080,sg_007080.soil,24.541666667000072,-33.958333332999985
191,7081,sg_007081.soil,24.791666668000062,-34.124999999999943
192,7082,sg_007082.soil,24.875000000000057,-33.874999999999943
193,7083,sg_007083.soil,24.875000000000057,-34.041666666999959
194,7084,sg_007084.soil,24.625000000000057,-33.958333332999985
